Pseudowort	Loss (max)	Loss (min)	Anz. Schritte
""Was13	14.1	1.58	1873
""647	3.13	2.82	1099
(1597	4.61	1.25	4999
(1600	7.33	0.168	9929
(1602	6.74	1.75	3331
(1637	4.96	0.534	9941
(1641	6.48	2.49	3331
(1643	5.76	5.03	1417
(379	5.63	1.79	2497
(579	6.1	5.93	1275
(581	8.71	3.22	1916
(584	7.66	6.97	1273
(590	6.98	5.3	1417
(592	5.18	4.26	1344
(600	7.51	6.77	1220
(886	6.29	0.687	9981
(892	5.18	4.54	1431
(900	5.81	4.58	1657
(905	5.64	5.26	1336
(907	5.57	4.88	1450
(909	5.98	4.7	1495
(917	6.0	5.53	1450
(919	5.67	5.22	1396
(921	5.79	4.6	1781
)1597	4.81	0.452	4999
)1600	7.75	0.0482	9939
)1637	8.61	0.459	9472
)1641	7.57	2.19	3331
)1643	6.78	6.46	1417
)1792	2.68	0.0506	9686
)379	4.86	2.58	2497
)579	7.28	7.04	1301
)581	5.8	4.24	1661
)584	8.42	7.4	1273
)590	7.26	6.68	1417
)592	6.95	6.03	1344
)600	7.03	6.44	1220
)886	9.95	0.378	9995
)892	7.27	6.77	1398
)900	7.09	6.13	1657
)907	6.97	6.57	1513
)909	5.74	5.25	1495
)917	6.15	5.84	1450
)919	7.65	6.28	1396
)921	4.99	4.0	1781
)«579	8.6	3.39	4999
,1459	9.87	9.5	1261
,973	8.32	3.98	1813
-128	7.04	3.7	1657
-651	0.423	0.0129	8932
-654	9.14	0.726	2998
-875	2.54	0.598	2499
-973	4.25	3.21	1461
:595	4.36	3.67	1261
:875	4.39	0.932	4967
:973	3.48	3.25	1266
Abstand683	12.9	12.6	1273
Allein20	12.5	2.59	1657
Aller1630	0.406	0.0135	4779
Als1315	3.22	0.785	1473
Als133	2.53	0.23	3331
Als1770	1.17	0.0126	4999
Am488	1.67	0.275	1873
Am492	3.36	0.414	1661
Am500	1.13	0.12	2499
Amerika605	2.34	0.075	8930
Anstatt320	8.28	3.51	1661
Art129	5.02	2.72	1573
Arzt1509	6.79	3.69	1486
Augenblick1301	9.61	1.45	3331
Ausmaß1777	13.4	12.2	1513
BRUTAL1503	6.08	1.32	3194
Besser1762	6.55	6.18	1211
Bis559	2.95	0.465	1573
Brutal1503	6.78	1.93	9469
Buche1346	13.5	8.31	1661
Das1313	1.77	0.084	2494
Das1461	4.64	2.89	1486
Dass21	5.38	2.25	1501
Dasselbe104	10.8	3.32	2998
Der1301	2.5	0.189	2998
Desto111	5.12	3.05	1513
Die1681	1.4	0.0593	4999
Diese19	5.26	0.513	1781
Dieser1301	0.943	0.0879	3331
Dieser19	1.08	0.093	3331
Dieses19	0.81	0.247	3331
Entweder1779	11.9	9.99	1529
Es1313	2.95	0.71	1573
Es605	2.81	1.9	1366
Gefühl1301	4.11	0.0687	7830
Generation1126	3.14	2.51	1359
Geschweige10	10.8	3.31	3331
Gold1554	7.73	4.18	1661
Gold1884	5.74	4.45	1529
Hauptsache1033	16.3	15.8	1255
Im557	2.65	0.171	2497
In557	2.83	0.496	1573
In858	2.84	1.45	1417
Inbegriff1671	19.4	18.8	1431
Ist1660	0.329	0.00285	9999
Je111	2.31	2.07	1261
Jedermanns1329	5.49	0.944	9999
Jener1301	3.19	0.372	8587
Jetzt1631	3.46	0.365	1661
Kein1525	2.9	0.055	4999
Kein1715	2.0	0.0608	2499
Kein1835	3.09	0.334	1781
Kein949	2.71	2.33	1299
Keine(r1792	7.51	1.74	9999
Keine1525	3.88	0.818	2499
Keine1715	2.65	0.247	1997
Keine1792	0.539	0.014	8802
Keine1835	1.69	0.0957	2499
Keine902	1.05	0.0175	4999
Keine949	2.11	1.47	1441
Keiner1792	13.0	2.2	1873
Leben1461	5.67	1.84	1398
Leben605	3.45	0.0938	9904
Lecker1649	8.69	0.573	4999
Maß1777	4.47	3.03	1813
Maße1777	11.7	11.2	1340
Mit683	1.19	0.17	2499
Moment1301	4.74	0.259	2497
Mords651	2.56	0.409	9787
Mutter1681	4.2	3.25	1441
Neue875	1.4	0.193	3331
Nicht1162	4.09	0.326	4999
Nicht902	4.12	0.221	2499
Niemand1792	3.22	1.21	1313
Ponyhof1462	19.1	11.5	1661
Raus1316	4.98	2.57	1657
Reden1554	8.89	3.01	1916
Riesen654	13.2	3.56	2998
Silber1554	8.99	4.15	1661
Silber1884	9.56	7.5	1529
So1300	7.52	0.718	1916
So1760	2.85	2.31	1248
So1831	2.74	1.96	1333
So22	5.11	0.258	2497
So74	0.694	0.0162	4999
So98	1.95	0.198	2140
Solch78	13.6	1.52	2998
Solche78	13.6	2.35	1873
Sowohl1134	6.16	4.74	1495
Statt320	6.49	1.54	2140
Tode1347	13.0	10.3	1398
Trotz1630	7.49	7.22	1297
Umfang1777	4.46	4.3	1441
Umso111	5.9	5.41	1282
Und11	0.754	0.0246	9989
Und5	2.0	0.36	1657
Von1034	0.658	0.0512	4999
Von1629	6.85	0.464	1661
Von1772	6.73	0.866	1660
Was13	3.43	0.728	1593
Was16	3.59	0.141	2998
Was1846	2.33	0.494	1556
Weil674	3.42	0.606	1997
Weil681	0.885	0.00638	9791
Welch15	12.5	4.03	1486
Wenn1291	1.84	1.42	1312
Wie14	4.82	0.306	1813
Wie1738	2.91	1.64	1486
Wo976	2.36	2.2	1189
Während320	2.92	2.6	1303
Zeit605	5.17	3.17	1417
Zeiten605	5.44	2.22	1781
ab1574	6.62	1.66	3331
aber902	10.1	5.69	1759
allen1630	5.07	4.36	1276
aller1630	4.77	1.92	2140
aller1681	5.37	4.33	1441
aller758	8.27	5.58	1365
als1134	6.66	6.42	1241
als133	6.69	5.55	1387
als1762	6.78	6.09	1171
als1770	6.17	4.95	1371
als97	7.66	6.88	1072
am488	6.2	4.78	1461
am492	5.39	4.96	1327
am500	5.12	4.8	1461
an349	5.8	5.46	1297
anstatt320	8.83	7.77	1540
